threshold,accuracy,precision,recall,f1,roc_auc
0.44,0.8012422360248447,0.616822429906542,0.6622073578595318,0.6387096774193549,0.8440857609099576
0.45,0.8065661047027507,0.6293929712460063,0.6588628762541806,0.6437908496732027,0.8440857609099576
0.46,0.805678793256433,0.631578947368421,0.6421404682274248,0.6368159203980099,0.8440857609099576
0.47,0.8047914818101154,0.632996632996633,0.6287625418060201,0.6308724832214765,0.8440857609099576
0.48,0.805678793256433,0.6379310344827587,0.6187290969899666,0.6281833616298812,0.8440857609099576
0.49,0.8065661047027507,0.6451612903225806,0.6020066889632107,0.6228373702422146,0.8440857609099576
0.5,0.8065661047027507,0.6483516483516484,0.5919732441471572,0.6188811188811189,0.8440857609099576
0.51,0.8118899733806566,0.6653992395437263,0.5852842809364549,0.6227758007117438,0.8440857609099576
0.52,0.8118899733806566,0.669260700389105,0.5752508361204013,0.618705035971223,0.8440857609099576
0.53,0.8136645962732919,0.6758893280632411,0.5719063545150501,0.6195652173913043,0.8440857609099576
0.54,0.8145519077196096,0.6859504132231405,0.5551839464882943,0.6136783733826248,0.8440857609099576
0.55,0.8189884649511979,0.7056277056277056,0.5451505016722408,0.6150943396226414,0.8440857609099576
0.56,0.8181011535048802,0.7117117117117117,0.5284280936454849,0.6065259117082533,0.8440857609099576
0.57,0.8154392191659272,0.7177033492822966,0.5016722408026756,0.5905511811023622,0.8440857609099576
0.58,0.8101153504880213,0.717948717948718,0.4682274247491639,0.5668016194331984,0.8440857609099576
0.59,0.8065661047027507,0.7189189189189189,0.44481605351170567,0.5495867768595041,0.8440857609099576
0.6,0.805678793256433,0.7352941176470589,0.4180602006688963,0.5330490405117271,0.8440857609099576
0.61,0.8012422360248447,0.7300613496932515,0.3979933110367893,0.5151515151515151,0.8440857609099576
0.62,0.7994676131322094,0.7449664429530202,0.3712374581939799,0.49553571428571425,0.8440857609099576
0.63,0.7923691215616682,0.7338129496402878,0.3411371237458194,0.46575342465753417,0.8440857609099576
0.64,0.7888198757763976,0.7364341085271318,0.3177257525083612,0.44392523364485986,0.8440857609099576
0.65,0.782608695652174,0.7368421052631579,0.2809364548494983,0.4067796610169492,0.8440857609099576
0.66,0.7781721384205856,0.7333333333333333,0.25752508361204013,0.3811881188118812,0.8440857609099576
0.67,0.7781721384205856,0.7752808988764045,0.23076923076923078,0.3556701030927835,0.8440857609099576
0.68,0.771960958296362,0.7692307692307693,0.20066889632107024,0.3183023872679045,0.8440857609099576
0.69,0.7639751552795031,0.7619047619047619,0.1605351170568562,0.26519337016574585,0.8440857609099576
0.7,0.7595385980479148,0.7692307692307693,0.13377926421404682,0.22792022792022792,0.8440857609099576
0.71,0.7577639751552795,0.8095238095238095,0.11371237458193979,0.19941348973607034,0.8440857609099576
0.72,0.7586512866015972,0.8857142857142857,0.10367892976588629,0.18562874251497005,0.8440857609099576
0.73,0.7542147293700089,0.9230769230769231,0.0802675585284281,0.1476923076923077,0.8440857609099576
0.74,0.7497781721384206,0.9047619047619048,0.06354515050167224,0.11875000000000001,0.8440857609099576
0.75,0.7453416149068323,0.875,0.046822742474916385,0.08888888888888889,0.8440857609099576
0.76,0.7426796805678794,0.8461538461538461,0.03678929765886288,0.07051282051282053,0.8440857609099576
0.77,0.7391304347826086,0.8571428571428571,0.020066889632107024,0.03921568627450981,0.8440857609099576
0.78,0.738243123336291,1.0,0.013377926421404682,0.026402640264026403,0.8440857609099576
0.79,0.7346938775510204,0.0,0.0,0.0,0.8440857609099576
0.8,0.7346938775510204,0.0,0.0,0.0,0.8440857609099576
0.81,0.7346938775510204,0.0,0.0,0.0,0.8440857609099576
